
January | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:January | G_LANG:EN
February | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:February | G_LANG:EN
March | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:March | G_LANG:EN
April | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:April | G_LANG:EN
May | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:May | G_LANG:EN
June | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:June | G_LANG:EN
July | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:July | G_LANG:EN
August | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:August | G_LANG:EN
September | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:September | G_LANG:EN
October | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:October | G_LANG:EN
November | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:November | G_LANG:EN
December | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:December | G_LANG:EN

Jan. | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:Jan. | G_LANG:EN
Feb. | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:Feb. | G_LANG:EN
Mar. | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:Mar. | G_LANG:EN
Apr. | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:Apr. | G_LANG:EN
May. | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:May. | G_LANG:EN
Jun. | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:Jun. | G_LANG:EN
Jul. | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:Jul. | G_LANG:EN
Aug. | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:Aug. | G_LANG:EN
Sep. | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:Sep. | G_LANG:EN
Oct. | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:Oct. | G_LANG:EN
Nov. | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:Nov. | G_LANG:EN
Dec. | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:Dec. | G_LANG:EN

JAN | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:JAN | G_LANG:EN
FEB | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:FEB | G_LANG:EN
MAR | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:MAR | G_LANG:EN
APR | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:APR | G_LANG:EN
MAY | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:MAY | G_LANG:EN
JUN | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:JUN | G_LANG:EN
JUL | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:JUL | G_LANG:EN
AUG | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:AUG | G_LANG:EN
SEP | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:SEP | G_LANG:EN
OCT | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:OCT | G_LANG:EN
NOV | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:NOV | G_LANG:EN
DEC | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:DEC | G_LANG:EN

Dic | GTYPE:gaz_month | G_LEMMA:December | SURFACE:Dic | G_NUM_BASE:12 | G_LANG:IT
Ott | GTYPE:gaz_month | G_LEMMA:October | SURFACE:Ott | G_NUM_BASE:10 | G_LANG:IT
Feb | GTYPE:gaz_month | G_LEMMA:February | SURFACE:Feb | G_NUM_BASE:02 | G_LANG:IT
Mar | GTYPE:gaz_month | G_LEMMA:March | SURFACE:Mar | G_NUM_BASE:03 | G_LANG:IT
Apr | GTYPE:gaz_month | G_LEMMA:April | SURFACE:Apr | G_NUM_BASE:04 | G_LANG:IT
Ago | GTYPE:gaz_month | G_LEMMA:August | SURFACE:Ago | G_NUM_BASE:08 | G_LANG:IT
Lug | GTYPE:gaz_month | G_LEMMA:July | SURFACE:Lug | G_NUM_BASE:07 | G_LANG:IT
Giu | GTYPE:gaz_month | G_LEMMA:June | SURFACE:Giu | G_NUM_BASE:06 | G_LANG:IT
Nov | GTYPE:gaz_month | G_LEMMA:November | SURFACE:Nov | G_NUM_BASE:11 | G_LANG:IT
Mag | GTYPE:gaz_month | G_LEMMA:May | SURFACE:Mag | G_NUM_BASE:05 | G_LANG:IT
Set | GTYPE:gaz_month | G_LEMMA:September | SURFACE:Set | G_NUM_BASE:09 | G_LANG:IT
Gen | GTYPE:gaz_month | G_LEMMA:January | SURFACE:Gen | G_NUM_BASE:01 | G_LANG:IT

Dec | GTYPE:gaz_month | G_LEMMA:December | SURFACE:Dic | G_NUM_BASE:12 | G_LANG:FR
Déc | GTYPE:gaz_month | G_LEMMA:December | SURFACE:Déc | G_NUM_BASE:12 | G_LANG:FR
Oct | GTYPE:gaz_month | G_LEMMA:October | SURFACE:Oct | G_NUM_BASE:10 | G_LANG:FR
Fev | GTYPE:gaz_month | G_LEMMA:February | SURFACE:Fev | G_NUM_BASE:02 | G_LANG:FR
Fév | GTYPE:gaz_month | G_LEMMA:February | SURFACE:Fév | G_NUM_BASE:02 | G_LANG:FR
